instant_hour,date,season_hour,year_hour,month_hour,holiday_hour,weekday_hour,workingday_hour,weather_hour,temp_hour,atemp_hour,humid_hour,windspeed_hour,casual_hour,registered_hour,count_hour,instant_day,season_day,year_day,month_day,hour,holiday_day,weekday_day,workingday_day,weather_day,temp_day,atemp_day,humid_day,windspeed_day,casual_day,registered_day,count_day,month
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,1,Winter,0,1,0,0,6,0,1,0.24,0.2879,0.81,0.0,3,13,16,January
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,2,Winter,0,1,1,0,6,0,1,0.22,0.2727,0.8,0.0,8,32,40,January
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,3,Winter,0,1,2,0,6,0,1,0.22,0.2727,0.8,0.0,5,27,32,January
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,4,Winter,0,1,3,0,6,0,1,0.24,0.2879,0.75,0.0,3,10,13,January
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,5,Winter,0,1,4,0,6,0,1,0.24,0.2879,0.75,0.0,0,1,1,January
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,6,Winter,0,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,0,1,1,January
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,7,Winter,0,1,6,0,6,0,1,0.22,0.2727,0.8,0.0,2,0,2,January
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,8,Winter,0,1,7,0,6,0,1,0.2,0.2576,0.86,0.0,1,2,3,January
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,9,Winter,0,1,8,0,6,0,1,0.24,0.2879,0.75,0.0,1,7,8,January
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,10,Winter,0,1,9,0,6,0,1,0.32,0.3485,0.76,0.0,8,6,14,January
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,11,Winter,0,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,12,24,36,January
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,12,Winter,0,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,26,30,56,January
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,13,Winter,0,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,29,55,84,January
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,14,Winter,0,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,47,47,94,January
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,15,Winter,0,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836,35,71,106,January
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,16,Winter,0,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985,40,70,110,January
